codigo_plano;ano_plano;modalidade;situacao;beneficiario;cnpj_beneficiario;uf;banco;agencia;conta;dv_agencia;dv_conta;parlamentar;ano_emenda;numero_emenda;codigo_emenda;area_politica;programa_orcamentario;valor_custeio;valor_investimento;natureza_juridica
09032022-014665;2022;Especial;CIENTE;MUNICIPIO DE SAO MIGUEL DO TOCANTINS;25064007000106;TO;Banco do Brasil;810;45353;9;6;Célio Moura;2022;202239350003;202239350003-Célio Moura;15-Urbanismo / 452-Serviços Urbanos;Não informado;200000.0;250000.0;Município
09032022-014667;2022;Especial;CIENTE;MUNICIPIO DE SAO SALVADOR DO TOCANTINS;37344371000109;TO;Banco do Brasil;4608;17731;6;8;Célio Moura;2022;202239350003;202239350003-Célio Moura;15-Urbanismo / 451-Infraestrutura Urbana , 18-Gestão Ambiental / 541-Preservação e Conservação Ambiental;2.005- MANUT.DAS ATIV.ADMINISTRATIVAS EM GERAL , 2150-MANUTENÇÃO DE ESTRADAS VICINAIS;150000.0;300000.0;Município
09032022-014671;2022;Especial;CIENTE;MUNICIPIO DE RIO SONO;00000729000168;TO;Caixa Econômica Federal;1737;6672014;0;4;Célio Moura;2022;202239350003;202239350003-Célio Moura;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;250000.0;600000.0;Município
09032022-014669;2022;Especial;CIENTE;MUNICIPIO DE GOIATINS;01832476000151;TO;Caixa Econômica Federal;610;6672012;6;4;Célio Moura;2022;202239350003;202239350003-Célio Moura;14-Direitos da Cidadania / 423-Assistência aos Povos Indígenas;Não informado;0.0;420000.0;Município
09032022-014666;2022;Especial;CIENTE;MUNICIPIO DE RIO DA CONCEICAO;33262536000134;TO;Banco do Brasil;1307;37377;2;X;Célio Moura;2022;202239350003;202239350003-Célio Moura;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;150000.0;400000.0;Município
09032022-014668;2022;Especial;CIENTE;MUNICIPIO DE DIANOPOLIS;01138957000161;TO;Banco do Brasil;1307;37372;2;9;Célio Moura;2022;202239350003;202239350003-Célio Moura;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
09032022-014674;2022;Especial;CIENTE;MUNICIPIO DE PEQUIZEIRO;25086604000123;TO;Caixa Econômica Federal;4481;6672013;4;3;Célio Moura;2022;202239350003;202239350003-Célio Moura;15-Urbanismo / 452-Serviços Urbanos , 20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;300000.0;500000.0;Município
09032022-014675;2022;Especial;CIENTE;MUNICIPIO DE LAJEADO;37420650000104;TO;Caixa Econômica Federal;1737;6672013;0;6;Célio Moura;2022;202239350003;202239350003-Célio Moura;10-Saúde / 301-Atenção Básica , 20-Agricultura / 606-Extensão Rural;Não informado;350000.0;500000.0;Município
09032022-014673;2022;Especial;CIENTE;MUNICIPIO DE RECURSOLANDIA;37421146000110;TO;Caixa Econômica Federal;1737;6672012;0;8;Célio Moura;2022;202239350003;202239350003-Célio Moura;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;250000.0;500000.0;Município
09032022-016261;2022;Especial;CIENTE;MUNICIPIO DE MAURILANDIA DO TOCANTINS;25064015000144;TO;Banco do Brasil;810;45335;9;8;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
09032022-014491;2022;Especial;CIENTE;MUNICIPIO DE BOM JESUS DO TOCANTINS;37420775000126;TO;Banco do Brasil;1595;32857;4;X;Carlos Henrique Gaguim;2022;202230680005;202230680005-Carlos Henrique Gaguim;15-Urbanismo / 452-Serviços Urbanos;Não informado;200000.0;0.0;Município
09032022-015178;2022;Especial;CIENTE;MUNICIPIO DE FILADELFIA;00766709000100;TO;Banco do Brasil;2064;22267;8;4;Eli Borges;2022;202239730006;202239730006-Eli Borges;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
09032022-015184;2022;Especial;CIENTE;MUNICIPIO DE CARIRI DO TOCANTINS;37344397000149;TO;Banco do Brasil;794;69903;3;9;Eli Borges;2022;202239730006;202239730006-Eli Borges;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 15-Urbanismo / 453-Transportes Coletivos Urbanos , 27-Desporto e Lazer / 811-Desporto de Rendimento;04.122.0012-1008-AQUISIÇÃO DE MATERIAL PERMANENTE , 15.451.0147-2142-MANUTENÇÃO DOS SERVIÇOS DE INFRAESTRUTURA , 15.452.0147-2009-MANUTENÇÃO E MODERNIZAÇÃO DA ILUMINAÇÃO PÚBLICA , 15.452.0147-2146-RECAPEAMENTO E OPERAÇÃO TAPA BURACO , 27.812.0151-2140-REALIZAÇÃO E APOIO AS ATIVIDADES ESPORTIVAS;150000.0;0.0;Município
09032022-015176;2022;Especial;CIENTE;MUNICIPIO DE ARRAIAS;01125780000169;TO;Banco do Brasil;1307;37371;2;0;Eli Borges;2022;202239730006;202239730006-Eli Borges;23-Comércio e Serviços / 695-Turismo;Não informado;400000.0;0.0;Município
09032022-015177;2022;Especial;CIENTE;MUNICIPIO DE CRISTALANDIA;01067156000152;TO;Banco do Brasil;3638;18354;2;7;Eli Borges;2022;202239730006;202239730006-Eli Borges;20-Agricultura / 608-Promoção da Produção Agropecuária , 27-Desporto e Lazer / 813-Lazer;Não informado;250000.0;0.0;Não encontrado
09032022-015179;2022;Especial;CIENTE;MUNICIPIO DE TOCANTINOPOLIS;01224716000135;TO;Banco do Brasil;810;45333;9;1;Eli Borges;2022;202239730006;202239730006-Eli Borges;16-Habitação / 482-Habitação Urbana;Não informado;0.0;500000.0;Município
09032022-015174;2022;Especial;CIENTE;MUNICIPIO DE MIRANORTE;02070720000159;TO;Banco do Brasil;4560;15937;8;9;Eli Borges;2022;202239730006;202239730006-Eli Borges;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;1300000.0;Município
09032022-015180;2022;Especial;CIENTE;MUNICIPIO DE MARIANOPOLIS DO TOCANTINS;24851479000138;TO;Banco do Brasil;3812;16292;1;2;Eli Borges;2022;202239730006;202239730006-Eli Borges;10-Saúde / 301-Atenção Básica;Não informado;330000.0;0.0;Município
09032022-015173;2022;Especial;CIENTE;MUNICIPIO DE AXIXA DO TOCANTINS;00766725000195;TO;Banco do Brasil;3975;30222;6;8;Eli Borges;2022;202239730006;202239730006-Eli Borges;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
09032022-014037;2022;Especial;CIENTE;MUNICIPIO DE COMBINADO;33255043000177;TO;Banco do Brasil;3977;14680;2;3;Osires Damaso;2022;202241220003;202241220003-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 25-Energia / 752-Energia Elétrica;02394 MANUTENCAO DA REDE DE ILUMINACAO PUBLICA;0.0;150000.0;Município
09032022-015363;2022;Especial;CIENTE;MUNICIPIO DE LAGOA DO TOCANTINS;37420916000100;TO;Caixa Econômica Federal;3459;6672004;2;1;Vicentinho Júnior;2022;202237750010;202237750010-Vicentinho Júnior;15-Urbanismo / 452-Serviços Urbanos;Não informado;200000.0;0.0;Município
09032022-015364;2022;Especial;CIENTE;MUNICIPIO DE ITAGUATINS;01395458000150;TO;Banco do Brasil;810;45329;9;3;Vicentinho Júnior;2022;202237750010;202237750010-Vicentinho Júnior;15-Urbanismo / 452-Serviços Urbanos;Não informado;341968.0;0.0;Município
09032022-015368;2022;Especial;CIENTE;MUNICIPIO DE NOVA ROSALANDIA;24851495000120;TO;Banco do Brasil;804;56855;4;4;Vicentinho Júnior;2022;202237750010;202237750010-Vicentinho Júnior;8-Assistência Social / 243-Assistência à Criança e ao Adolescente , 11-Trabalho / 334-Fomento ao Trabalho , 15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;200000.0;0.0;Município
09032022-015366;2022;Especial;CIENTE;MUNICIPIO DE ALMAS;01138551000189;TO;Caixa Econômica Federal;3089;6672012;9;1;Vicentinho Júnior;2022;202237750010;202237750010-Vicentinho Júnior;13-Cultura / 392-Difusão Cultural , 26-Transporte / 782-Transporte Rodoviário;Não informado;200000.0;0.0;Município
09032022-015362;2022;Especial;CIENTE;MUNICIPIO DE OLIVEIRA DE FATIMA;01629809000140;TO;Banco do Brasil;804;57133;4;4;Vicentinho Júnior;2022;202237750010;202237750010-Vicentinho Júnior;12-Educação / 361-Ensino Fundamental;Não informado;141968.0;0.0;Município
09032022-014042;2022;Especial;CIENTE;MUNICIPIO DE CAMPOS LINDOS;25063959000105;TO;Banco do Brasil;1957;8831;7;5;Osires Damaso;2022;202241220003;202241220003-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;300000.0;Município
09032022-2-022053;2022;Especial;IMPEDIDO;MUNICIPIO DE PONTE ALTA DO TOCANTINS;01067974000155;TO;Não informado;;;;;Eli Borges;2022;202239730006;202239730006-Eli Borges;Não informado;Não informado;200000.0;0.0;Município
09032021-013003;2021;Especial;CIENTE;MUNICIPIO DE PRESIDENTE KENNEDY;01785492000130;TO;Caixa Econômica Federal;4481;6672009;4;5;Irajá;2021;202140960005;202140960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;150000.0;Município
09032022-016265;2022;Especial;CIENTE;MUNICIPIO DE XAMBIOA;02087211000139;TO;Banco do Brasil;3773;25855;7;5;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;200000.0;Município
09032022-016277;2022;Especial;CIENTE;MUNICIPIO DE FILADELFIA;00766709000100;TO;Banco do Brasil;2064;22267;8;4;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
09032022-016273;2022;Especial;CIENTE;MUNICIPIO DE PIRAQUE;25063942000140;TO;Banco do Brasil;638;111872;6;2;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;12-Educação / 368-Educação Básica , 15-Urbanismo / 451-Infraestrutura Urbana , 25-Energia / 752-Energia Elétrica;10.13.15.452.4542.2.144      15.01.12.361.4520.1.134      15.451.4503.1.403.4.4.90.51;0.0;400000.0;Município
09032022-016272;2022;Especial;CIENTE;MUNICIPIO DE SANTA FE DO ARAGUAIA;25063918000100;TO;Banco do Brasil;4791;9615;0;6;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;400000.0;Não encontrado
09032022-016279;2022;Especial;CIENTE;MUNICIPIO DE PEIXE;02396166000102;TO;Caixa Econômica Federal;793;6672010;5;4;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;13-Cultura / 391-Patrimônio Histórico, Artístico e Arqueológico , 15-Urbanismo / 451-Infraestrutura Urbana , 26-Transporte / 782-Transporte Rodoviário , 27-Desporto e Lazer / 812-Desporto Comunitário;0705 - EXPANÇÃO/MELHORIAS DA REDE DE ILUMINAÇÃO , 0717 - CONSTRUÇÃO DE PONTES, BUEIROS E ATERROS , 2204 - CONSTRUÇÃO E AMPLIAÇÃO DE QUADRA DE ESPORTE E CAMPOS DE FUTEBOL;0.0;150000.0;Município
09032022-016260;2022;Especial;CIENTE;MUNICIPIO DE ESPERANTINA;25064080000170;TO;Banco do Brasil;3975;30212;6;0;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;20-Agricultura / 608-Promoção da Produção Agropecuária;20ZV;0.0;350000.0;Não encontrado
09032022-016257;2022;Especial;CIENTE;MUNICIPIO DE AGUIARNOPOLIS;01634074000142;TO;Banco do Brasil;810;45334;9;X;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;350000.0;Município
09032022-016262;2022;Especial;CIENTE;MUNICIPIO DE SAO BENTO DO TOCANTINS;25063983000136;TO;Banco do Brasil;1305;38298;6;1;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;450000.0;Não encontrado
09032022-016263;2022;Especial;CIENTE;MUNICIPIO DE BABACULANDIA;02401248000190;TO;Banco do Brasil;638;111878;6;1;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 15-Urbanismo / 453-Transportes Coletivos Urbanos;Não informado;0.0;450000.0;Município
09032022-3-022245;2022;Especial;IMPEDIDO;MUNICIPIO DE PONTE ALTA DO TOCANTINS;01067974000155;TO;Não informado;;;;;Eli Borges;2022;202239730006;202239730006-Eli Borges;Não informado;Não informado;200000.0;0.0;Município
09032022-016278;2022;Especial;CIENTE;MUNICIPIO DE NOVA OLINDA;00001602000163;TO;Banco do Brasil;638;111899;6;4;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;200000.0;Município
09032022-016266;2022;Especial;CIENTE;MUNICIPIO DE WANDERLANDIA;00001636000158;TO;Banco do Brasil;638;111879;6;X;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;350000.0;Município
09032022-016274;2022;Especial;CIENTE;MUNICIPIO DE ANANAS;00237362000109;TO;Banco do Brasil;3973;20852;X;3;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
09032022-016270;2022;Especial;CIENTE;MUNICIPIO DE CARRASCO BONITO;25064023000190;TO;Banco do Brasil;3975;30221;6;X;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;400000.0;Município
09032022-016271;2022;Especial;CIENTE;MUNICIPIO DE RIACHINHO;25063926000157;TO;Banco do Brasil;3973;20851;X;5;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;450000.0;Município
09032022-016264;2022;Especial;CIENTE;MUNICIPIO DE TAGUATINGA;02306900000197;TO;Caixa Econômica Federal;3738;6672011;9;0;Tiago Dimas;2022;202240710001;202240710001-Tiago Dimas;10-Saúde / 301-Atenção Básica;Não informado;0.0;400000.0;Município
09032022-2-022056;2022;Especial;IMPEDIDO;MUNICIPIO DE TOCANTINIA;02070712000102;TO;Não informado;;;;;Eli Borges;2022;202239730006;202239730006-Eli Borges;Não informado;Não informado;0.0;500000.0;Município
09032022-3-022247;2022;Especial;IMPEDIDO;MUNICIPIO DE PRAIA NORTE;25061789000111;TO;Não informado;;;;;Eli Borges;2022;202239730006;202239730006-Eli Borges;Não informado;Não informado;200000.0;0.0;Município
0903-003934;2020;Especial;CIENTE;MUNICIPIO DE SAO MIGUEL DO TOCANTINS;25064007000106;TO;Banco do Brasil;810;41919;9;2;Irajá;2020;202040960005;202040960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos;Não informado;100000.0;300000.0;Município
09032022-014498;2022;Especial;CIENTE;MUNICIPIO DE MONTE DO CARMO;01067891000166;TO;Banco do Brasil;1117;56972;7;0;Carlos Henrique Gaguim;2022;202230680005;202230680005-Carlos Henrique Gaguim;15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;200000.0;Município
09032022-015182;2022;Especial;CIENTE;MUNICIPIO DE MONTE DO CARMO;01067891000166;TO;Banco do Brasil;1117;56972;7;0;Eli Borges;2022;202239730006;202239730006-Eli Borges;15-Urbanismo / 452-Serviços Urbanos;Não informado;100000.0;0.0;Município
09032022-3-022246;2022;Especial;IMPEDIDO;MUNICIPIO DE RIO SONO;00000729000168;TO;Não informado;;;;;Eli Borges;2022;202239730006;202239730006-Eli Borges;Não informado;Não informado;20000.0;100000.0;Município
09032022-3-022248;2022;Especial;IMPEDIDO;MUNICIPIO DE SANDOLANDIA;37344355000108;TO;Não informado;;;;;Eli Borges;2022;202239730006;202239730006-Eli Borges;Não informado;Não informado;150000.0;0.0;Município
09032022-014664;2022;Especial;CIENTE;MUNICIPIO DE SAO BENTO DO TOCANTINS;25063983000136;TO;Banco do Brasil;1305;38298;6;1;Célio Moura;2022;202239350003;202239350003-Célio Moura;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Não encontrado
09032022-014039;2022;Especial;CIENTE;MUNICIPIO DE DIVINOPOLIS DO TOCANTINS;24851461000136;TO;Banco do Brasil;3812;16295;1;7;Osires Damaso;2022;202241220003;202241220003-Osires Damaso;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017514;2022;Especial;CIENTE;MUNICIPIO DE NATIVIDADE;01809474000141;TO;Caixa Econômica Federal;1829;6672014;5;4;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017801;2022;Especial;CIENTE;MUNICIPIO DE PALMEIRAS DO TOCANTINS;25064056000130;TO;Banco do Brasil;810;45336;9;6;Professora Dorinha Seabra Rezende;2022;202226930001;202226930001-Professora Dorinha Seabra Rezende;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;200000.0;Município
09032022-018658;2022;Especial;CIENTE;MUNICIPIO DE ANANAS;00237362000109;TO;Banco do Brasil;3973;20852;X;3;Dulce Miranda;2022;202230860005;202230860005-Dulce Miranda;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;350000.0;Município
09032022-017470;2022;Especial;CIENTE;MUNICIPIO DE DARCINOPOLIS;25064072000123;TO;Banco do Brasil;810;45337;9;4;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;200000.0;Não encontrado
09032022-021236;2022;Especial;CIENTE;MUNICIPIO DE NATIVIDADE;01809474000141;TO;Caixa Econômica Federal;1829;6672014;5;4;Irajá;2022;202240960005;202240960005-Irajá;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-018652;2022;Especial;CIENTE;MUNICIPIO DE DOIS IRMAOS DO TOCANTINS;02070563000181;TO;Banco do Brasil;3812;16297;1;3;Dulce Miranda;2022;202230860005;202230860005-Dulce Miranda;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;400000.0;Município
09032022-3-022249;2022;Especial;IMPEDIDO;MUNICIPIO DE TOCANTINIA;02070712000102;TO;Não informado;;;;;Eli Borges;2022;202239730006;202239730006-Eli Borges;Não informado;Não informado;0.0;500000.0;Município
09032022-018649;2022;Especial;CIENTE;MUNICIPIO DE DARCINOPOLIS;25064072000123;TO;Banco do Brasil;810;45337;9;4;Dulce Miranda;2022;202230860005;202230860005-Dulce Miranda;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;300000.0;Não encontrado
09032022-017468;2022;Especial;CIENTE;MUNICIPIO DE SANTA TEREZINHA DO TOCANTINS;01634030000112;TO;Banco do Brasil;810;45331;9;5;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017466;2022;Especial;CIENTE;MUNICIPIO DE CHAPADA DA NATIVIDADE;01613086000190;TO;Caixa Econômica Federal;1829;6672012;5;8;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;1104 - Exclusivamente ao fomento a infraestrutura de Estradas e Pontes Rurais (Ponte do Rio de Pedra);0.0;369682.0;Município
09032022-017478;2022;Especial;CIENTE;MUNICIPIO DE ITAPORA DO TOCANTINS;02739753000149;TO;Caixa Econômica Federal;4481;6672014;4;1;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;150000.0;Não encontrado
09032022-017485;2022;Especial;CIENTE;MUNICIPIO DE WANDERLANDIA;00001636000158;TO;Caixa Econômica Federal;610;6672013;6;2;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017475;2022;Especial;CIENTE;MUNICIPIO DE COUTO DE MAGALHAES;02133098000180;TO;Banco do Brasil;1306;27280;4;9;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;150000.0;Município
09032022-017479;2022;Especial;CIENTE;MUNICIPIO DE COLMEIA;02070746000105;TO;Caixa Econômica Federal;4481;6672012;4;5;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;500000.0;Município
09032022-017488;2022;Especial;CIENTE;MUNICIPIO DE GOIANORTE;25086612000170;TO;Banco do Brasil;1306;27281;4;7;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017471;2022;Especial;CIENTE;MUNICIPIO DE PAU D:ARCO;25063991000182;TO;Banco do Brasil;3974;16349;8;X;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana , 17-Saneamento / 512-Saneamento Básico Urbano;Não informado;0.0;150000.0;Município
09032022-017474;2022;Especial;CIENTE;MUNICIPIO DE SANTA MARIA DO TOCANTINS;37421039000192;TO;Banco do Brasil;1595;32866;4;9;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Não encontrado
09032022-017473;2022;Especial;CIENTE;MUNICIPIO DE RIO DOS BOIS;37420932000101;TO;Banco do Brasil;862;38940;1;4;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana , 27-Desporto e Lazer / 812-Desporto Comunitário;Não informado;0.0;150000.0;Município
09032022-017481;2022;Especial;CIENTE;MUNICIPIO DE PONTE ALTA DO TOCANTINS;01067974000155;TO;Banco do Brasil;1117;56970;7;4;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017487;2022;Especial;CIENTE;MUNICIPIO DE COMBINADO;33255043000177;TO;Banco do Brasil;3977;14680;2;3;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;02394 MANUTENCAO DA REDE DE ILUMINACAO PUBLICA;0.0;150000.0;Município
09032022-017480;2022;Especial;CIENTE;MUNICIPIO DE PIUM;01189497000109;TO;Banco do Brasil;3638;18359;2;8;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 452-Serviços Urbanos;Não informado;0.0;150000.0;Município
09032022-017483;2022;Especial;CIENTE;MUNICIPIO DE PALMEIROPOLIS;00007401000173;TO;Caixa Econômica Federal;793;6672009;5;0;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;20-Agricultura / 608-Promoção da Produção Agropecuária;Não informado;0.0;150000.0;Município
09032022-017467;2022;Especial;CIENTE;MUNICIPIO DE ARAGUANA;25063892000109;TO;Caixa Econômica Federal;610;6672015;6;9;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017501;2022;Especial;CIENTE;MUNICIPIO DE FILADELFIA;00766709000100;TO;Banco do Brasil;2064;22267;8;4;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017519;2022;Especial;CIENTE;MUNICIPIO DE SUCUPIRA;37344439000141;TO;Banco do Brasil;794;69901;3;2;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana , 25-Energia / 752-Energia Elétrica , 26-Transporte / 782-Transporte Rodoviário;1020-CONSTRUÇÃO DE PONTES, BUEIROS E MATA-BURRIS , 2062- MANUTENÇÃO DE ILUMINAÇÃO PUBLICA;0.0;150000.0;Município
09032022-017504;2022;Especial;CIENTE;MUNICIPIO DE PONTE ALTA DO BOM JESUS;01067966000109;TO;Caixa Econômica Federal;3738;6672012;9;9;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;25-Energia / 751-Conservação de Energia , 25-Energia / 752-Energia Elétrica;Não informado;0.0;150000.0;Município
09032022-017495;2022;Especial;CIENTE;MUNICIPIO DE SANDOLANDIA;37344355000108;TO;Banco do Brasil;1304;194153;8;4;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos , 20-Agricultura / 606-Extensão Rural;0018.15.606.0078.1087.44905100 , 0018.18.451.0078.1089.4451905100;0.0;150000.0;Município
09032022-017510;2022;Especial;CIENTE;MUNICIPIO DE AURORA DO TOCANTINS;01067107000110;TO;Caixa Econômica Federal;3738;6672013;9;7;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017491;2022;Especial;CIENTE;MUNICIPIO DE BANDEIRANTES DO TOCANTINS;01612819000172;TO;Caixa Econômica Federal;1116;6672016;9;4;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Município
09032022-017515;2022;Especial;CIENTE;MUNICIPIO DE LIZARDA;02070571000128;TO;Caixa Econômica Federal;3939;6672001;0;6;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Não encontrado
09032022-017494;2022;Especial;CIENTE;MUNICIPIO DE SANTA FE DO ARAGUAIA;25063918000100;TO;Banco do Brasil;4791;9615;0;6;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;150000.0;Não encontrado
09032022-017506;2022;Especial;CIENTE;MUNICIPIO DE FIGUEIROPOLIS;00003848000174;TO;Banco do Brasil;3978;11385;0;9;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;16-Habitação / 482-Habitação Urbana , 26-Transporte / 782-Transporte Rodoviário;10.07.01.26.782.88.1089 , 13.12.01.16.482.82.1016.44915100;0.0;150000.0;Município
09032022-017511;2022;Especial;CIENTE;MUNICIPIO DE MONTE DO CARMO;01067891000166;TO;Banco do Brasil;1117;56972;7;0;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;8-Assistência Social / 244-Assistência Comunitária;Não informado;0.0;150000.0;Município
09032022-017503;2022;Especial;CIENTE;MUNICIPIO DE PEDRO AFONSO;02070589000120;TO;Caixa Econômica Federal;4481;6672016;4;8;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;200000.0;Município
09032022-017493;2022;Especial;CIENTE;MUNICIPIO DE CARRASCO BONITO;25064023000190;TO;Banco do Brasil;3975;30221;6;X;Kátia Abreu;2022;202223590004;202223590004-Kátia Abreu;27-Desporto e Lazer / 813-Lazer;Não informado;0.0;150000.0;Município
