codigo_plano;ano_plano;modalidade;situacao;beneficiario;cnpj_beneficiario;uf;banco;agencia;conta;dv_agencia;dv_conta;parlamentar;ano_emenda;numero_emenda;codigo_emenda;area_politica;programa_orcamentario;valor_custeio;valor_investimento;natureza_juridica
09032025-077051;2025;Especial;IMPEDIDO;MUNICIPIO DE NOVA OLINDA;00001602000163;TO;Banco do Brasil;1959;;3;;Lázaro Botelho;2025;202524290005;202524290005-LÁZARO BOTELHO;23-Comércio e Serviços / 695-Turismo;Não informado;495000.0;0.0;Município
09032025-084409;2025;Especial;IMPEDIDO;MUNICIPIO DE NOVO ALEGRE;33266248000158;TO;Banco do Brasil;3977;;2;;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;396000.0;Município
09032025-078484;2025;Especial;IMPEDIDO;MUNICIPIO DE NOVO ALEGRE;33266248000158;TO;Banco do Brasil;3977;;2;;Ricardo Ayres;2025;202544590003;202544590003-RICARDO AYRES;12-Educação / 361-Ensino Fundamental;Não informado;297000.0;0.0;Município
09032025-084395;2025;Especial;IMPEDIDO;MUNICIPIO DE PALMEIRAS DO TOCANTINS;25064056000130;TO;Banco do Brasil;810;;9;;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;23-Comércio e Serviços / 695-Turismo;Não informado;0.0;396000.0;Município
09032025-076387;2025;Especial;IMPEDIDO;MUNICIPIO DE PAU D:ARCO;25063991000182;TO;Banco do Brasil;3974;;8;;Antonio Andrade;2025;202543050005;202543050005-ANTONIO ANDRADE;23-Comércio e Serviços / 695-Turismo;Não informado;0.0;590629.05;Município
09032025-077801;2025;Especial;IMPEDIDO;MUNICIPIO DE PEQUIZEIRO;25086604000123;TO;Banco do Brasil;1306;;4;;Carlos Henrique Gaguim;2025;202530680010;202530680010-CARLOS HENRIQUE GAGUIM;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;495000.0;Município
09032025-077788;2025;Especial;IMPEDIDO;MUNICIPIO DE PIUM;01189497000109;TO;Caixa Econômica Federal;1141;;0;;Carlos Henrique Gaguim;2025;202530680010;202530680010-CARLOS HENRIQUE GAGUIM;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;990000.0;Município
09032025-084382;2025;Especial;IMPEDIDO;MUNICIPIO DE PIUM;01189497000109;TO;Caixa Econômica Federal;1141;;0;;Professora Dorinha Seabra;2025;202542750006;202542750006-PROFESSORA DORINHA SEABRA;12-Educação / 368-Educação Básica;Não informado;0.0;396000.0;Município
09032025-084534;2025;Especial;IMPEDIDO;MUNICIPIO DE RIACHINHO;25063926000157;TO;Banco do Brasil;3973;;X;;Alexandre Guimarães;2025;202542940004;202542940004-ALEXANDRE GUIMARÃES;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;749952.72;Município
09032025-084893;2025;Especial;IMPEDIDO;MUNICIPIO DE SANTA FE DO ARAGUAIA;25063918000100;TO;Caixa Econômica Federal;610;;6;;Filipe Martins;2025;202543750002;202543750002-FILIPE MARTINS;15-Urbanismo / 453-Transportes Coletivos Urbanos;Não informado;0.0;396000.0;Não encontrado
09032025-084518;2025;Especial;IMPEDIDO;MUNICIPIO DE SANTA RITA DO TOCANTINS;01613127000149;TO;Banco do Brasil;3972;;1;;Alexandre Guimarães;2025;202542940004;202542940004-ALEXANDRE GUIMARÃES;15-Urbanismo / 451-Infraestrutura Urbana;Não informado;0.0;749952.72;Não encontrado
09032025-076385;2025;Especial;IMPEDIDO;MUNICIPIO DE SANTA RITA DO TOCANTINS;01613127000149;TO;Banco do Brasil;3972;;1;;Antonio Andrade;2025;202543050005;202543050005-ANTONIO ANDRADE;10-Saúde / 301-Atenção Básica , 15-Urbanismo / 451-Infraestrutura Urbana;Não informado;495000.0;0.0;Não encontrado
