codigo_plano;situacao;data_inicio;data_fim;ente_recebedor;municipio;uf;cnpj_recebedor;fundo_repassador;orgao_repassador;sigla_orgao;fundo_recebedor;valor_emenda;valor_especifico;valor_voluntario;valor_total_repasse;valor_total_plano;saldo_disponivel;natureza_juridica
30882120250002-028055;REJEITADO;2025-04-15;2029-12-31;MUNICIPIO DE CRISTALANDIA;CRISTALÂNDIA;TO;01067156000152;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;57339.75;0.0;57339.75;57339.75;0.0;Município
30882120230002-010700;AUTORIZADO;2023-06-01;2024-12-31;MUNICIPIO DE CRIXAS DO TOCANTINS;CRIXÁS DO TOCANTINS;TO;01612821000141;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;36630.3;0.0;36630.3;36630.3;0.0;Não encontrado
30882120230002-011198;AUTORIZADO;2023-06-21;2024-12-31;MUNICIPIO DE BANDEIRANTES DO TOCANTINS;BANDEIRANTES DO TOCANTINS;TO;01612819000172;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;49666.3;0.0;49666.3;49666.3;0.0;Município
30882120230005-018545;AUTORIZADO;2023-12-04;2025-12-31;MUNICIPIO DE BARRA DO OURO;BARRA DO OURO;TO;01612818000128;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;46159.76;0.0;46159.76;46159.76;0.0;Município
30882120230005-018539;AUTORIZADO;2023-12-04;2025-12-31;MUNICIPIO DE BOM JESUS DO TOCANTINS;BOM JESUS DO TOCANTINS;TO;37420775000126;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;43546.18;0.0;43546.18;43546.18;0.0;Município
30882120230002-012552;AUTORIZADO;2023-06-01;2024-12-31;MUNICIPIO DE BOM JESUS DO TOCANTINS;BOM JESUS DO TOCANTINS;TO;37420775000126;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;59980.1;0.0;59980.1;59980.1;0.0;Município
30882120250002-023254;AUTORIZADO;2025-05-26;2029-12-31;MUNICIPIO DE BREJINHO DE NAZARE;BREJINHO DE NAZARÉ;TO;02884153000174;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;187275.28;0.0;187275.28;187275.28;0.0;Município
30882120230002-014584;AUTORIZADO;2023-07-11;2024-12-31;MUNICIPIO DE BREJINHO DE NAZARE;BREJINHO DE NAZARÉ;TO;02884153000174;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;62889.32;0.0;62889.32;62889.32;0.0;Município
30882120230002-014490;AUTORIZADO;2023-07-11;2024-12-31;MUNICIPIO DE CACHOEIRINHA;CACHOEIRINHA;TO;25064064000187;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;40398.41;0.0;40398.41;40398.41;0.0;Município
30882120230005-021009;AUTORIZADO;2023-12-11;2025-12-31;MUNICIPIO DE CACHOEIRINHA;CACHOEIRINHA;TO;25064064000187;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;31321.93;0.0;31321.93;31321.93;0.0;Município
30882120250002-027912;AUTORIZADO;2025-05-01;2029-12-31;MUNICIPIO DE CACHOEIRINHA;CACHOEIRINHA;TO;25064064000187;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;123939.24;0.0;123939.24;123939.24;0.0;Município
30882120250002-023627;AUTORIZADO;2025-04-28;2029-12-31;MUNICIPIO DE FATIMA;FÁTIMA;TO;00114801000188;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;158463.6;0.0;158463.6;158463.6;0.0;Município
30882120230002-012925;AUTORIZADO;2023-07-01;2024-12-31;MUNICIPIO DE FATIMA;FÁTIMA;TO;00114801000188;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;51003.14;0.0;51003.14;51003.14;0.0;Município
30882120230005-016294;AUTORIZADO;2023-11-21;2025-12-31;MUNICIPIO DE FATIMA;FÁTIMA;TO;00114801000188;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;40206.93;0.0;40206.93;40206.93;0.0;Município
30882120230002-012225;AUTORIZADO;2023-07-01;2024-12-31;MUNICIPIO DE FIGUEIROPOLIS;FIGUEIRÓPOLIS;TO;00003848000174;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;60686.62;0.0;60686.62;60686.62;0.0;Município
30882120250002-022891;AUTORIZADO;2025-04-15;2029-12-31;MUNICIPIO DE FIGUEIROPOLIS;FIGUEIRÓPOLIS;TO;00003848000174;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;199468.32;0.0;199468.32;199468.32;0.0;Município
30882120230002-009746;AUTORIZADO;2023-06-01;2024-12-31;MUNICIPIO DE FORMOSO DO ARAGUAIA;FORMOSO DO ARAGUAIA;TO;02075216000141;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;176190.92;0.0;176190.92;176190.92;0.0;Município
30882120230002-011973;AUTORIZADO;2023-06-27;2024-12-31;MUNICIPIO DE DIANOPOLIS;DIANÓPOLIS;TO;01138957000161;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;206294.21;0.0;206294.21;206294.21;0.0;Município
30882120230002-009714;AUTORIZADO;2023-06-01;2024-12-31;MUNICIPIO DE DIVINOPOLIS DO TOCANTINS;DIVINÓPOLIS DO TOCANTINS;TO;24851461000136;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;72905.27;0.0;72905.27;72905.27;0.0;Município
30882120250002-026590;AUTORIZADO;2025-05-15;2029-12-31;MUNICIPIO DE DIVINOPOLIS DO TOCANTINS;DIVINÓPOLIS DO TOCANTINS;TO;24851461000136;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;243747.08;0.0;243747.08;243747.08;0.0;Município
30882120230002-013463;AUTORIZADO;2023-06-01;2024-12-31;MUNICIPIO DE ESPERANTINA;ESPERANTINA;TO;25064080000170;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;110820.24;0.0;110820.24;110820.24;0.0;Município
30882120230005-021413;AUTORIZADO;2023-12-11;2025-12-31;MUNICIPIO DE ESPERANTINA;ESPERANTINA;TO;25064080000170;FUNDO NACIONAL DA CULTURA;Ministério da Cultura;MinC;Não informado;0.0;70761.76;0.0;70761.76;70761.76;0.0;Município
30879820220001-007667;AUTORIZADO;2022-09-23;2023-05-31;MUNICIPIO DE ARAGUAINA;ARAGUAÍNA;TO;01830793000139;Fundo Repassador Ministério da Cidades. ;Ministério das Cidades;MCID;Não informado;0.0;1928608.36;0.0;1928608.36;1928608.36;0.0;Município
30879820220001-007763;EM_COMPLEMENTACAO;2022-09-23;2023-07-31;MUNICIPIO DE PORTO NACIONAL;PORTO NACIONAL;TO;00299198000156;Fundo Repassador Ministério da Cidades. ;Ministério das Cidades;MCID;SECRETARIA MUNICIPAL DA CULTURA E DO TURISMO;0.0;1.0;0.0;1.0;1.0;0.0;Município
30879820220001-007522;EM_COMPLEMENTACAO;2022-09-23;2023-05-31;MUNICIPIO DE PALMAS;PALMAS;TO;24851511000185;Fundo Repassador Ministério da Cidades. ;Ministério das Cidades;MCID;Não informado;0.0;0.0;0.0;0.0;0.0;0.0;Município
30879820220001-007730;EM_COMPLEMENTACAO;2022-09-23;2023-05-31;MUNICIPIO DE TOCANTINIA;TOCANTÍNIA;TO;02070712000102;Fundo Repassador Ministério da Cidades. ;Ministério das Cidades;MCID;Não informado;0.0;1.0;0.0;1.0;1.0;0.0;Município
30879820220001-007523;AUTORIZADO;2022-09-23;2023-05-31;MUNICIPIO DE PALMAS;PALMAS;TO;24851511000185;Fundo Repassador Ministério da Cidades. ;Ministério das Cidades;MCID;Não informado;0.0;2471591.42;0.0;2471591.42;2471591.42;0.0;Município
00025320220001-006886;AUTORIZADO;2022-03-10;2026-10-31;ESTADO DO TOCANTINS;PALMAS;TO;01786029000103;Fundo Repassador FNDE;Fundo Nacional de Desenvolvimento da Educação;FNDE;SECRETARIA DA EDUCACAO;0.0;38687020.59;0.0;38687020.59;46034741.16;0.0;Estado ou Distrito Federal
