id_proposta;uf_proponente;municipio_beneficiario;orgao_superior;natureza_juridica;nr_proposta;ano_proposta;orgao_concedente;modalidade;proponente;nr_convenio;dt_assinatura;situacao;subsituacao;dt_inicio_vigencia;dt_fim_vigencia;valor_global;valor_repasse;valor_contrapartida;valor_empenhado;valor_desembolsado;valor_saldo_tesouro;vl_saldo_reman_convenente;vl_rendimento_aplicacao;vl_ingresso_contrapartida;valor_saldo_conta;ano_assinatura;nr_emenda;parlamentar;tipo_parlamentar;valor_emenda;valor_pago
1867676;TO;PUGMIL;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;Administração Pública Municipal;19188/2023;2023;MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL;CONTRATO DE REPASSE;MUNICIPIO DE PUGMIL;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
973103;TO;PRAIA NORTE;MINISTERIO DO TURISMO;Administração Pública Municipal;17453/2015;2015;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE PRAIA NORTE;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1118973;TO;LUZINÓPOLIS;MINISTERIO DAS CIDADES;Administração Pública Municipal;34052/2016;2016;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE LUZINOPOLIS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1256273;TO;LAVANDEIRA;MINISTERIO DO ESPORTE;Administração Pública Municipal;85791/2017;2017;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE LAVANDEIRA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
1773010;TO;MURICILÂNDIA;MINISTERIO DAS CIDADES;Administração Pública Municipal;15766/2022;2022;MINISTERIO DAS CIDADES;CONTRATO DE REPASSE;MUNICIPIO DE MURICILANDIA;931511;27/07/2022;Em execução;;27/07/2022;31/08/2026;486104.0;481104.0;5000.0;481104.0;481104.0;0.0;0.0;0.0;5000.0;72074.55;2022;;;;0.0;428478.5
955359;TO;CARIRI DO TOCANTINS;MINISTERIO DO ESPORTE;Administração Pública Municipal;6546/2015;2015;MINISTERIO DO ESPORTE;CONTRATO DE REPASSE;MUNICIPIO DE CARIRI DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
690422;TO;SUCUPIRA;MINISTERIO DO TURISMO;Administração Pública Municipal;17021/2013;2013;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE SUCUPIRA;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
683101;TO;MARIANÓPOLIS DO TOCANTINS;MINISTERIO DO TURISMO;Administração Pública Municipal;10288/2013;2013;MINISTERIO DO TURISMO;CONTRATO DE REPASSE;MUNICIPIO DE MARIANOPOLIS DO TOCANTINS;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;;;;;0.0;0.0
2005501;TO;ARAGUAÍNA;MINISTÉRIO DAS MULHERES;Organização da Sociedade Civil;24297/2024;2024;MINISTÉRIO DAS MULHERES;TERMO DE FOMENTO;ASSOCIACAO  COMUNITARIA FABRICA DE ESPERANCA;970414;18/12/2024;Prestação de Contas em Análise;;18/12/2024;31/01/2026;500000.0;500000.0;0.0;500000.0;500000.0;42351.6;0.0;0.0;0.0;0.0;2024;39730009.0;ELI BORGES;INDIVIDUAL;500000.0;484788.64
210050;TO;PEDRO AFONSO;MINISTERIO DO TURISMO;Administração Pública Municipal;19285/2010;2010;MINISTERIO DO TURISMO;CONVENIO;MUNICIPIO DE PEDRO AFONSO;733290;07/05/2010;Prestação de Contas em Análise;;07/05/2010;31/08/2010;104500.0;100000.0;4500.0;100000.0;100000.0;0.0;0.0;0.0;0.0;0.0;2010;;;;0.0;104500.0
